Model,SoldPrice,Kilometers,Year,Owner,ConditionScore,Brand,Age,OwnerRank,FuelType_Diesel,FuelType_Petrol,Transmission_AUTOMATIC,Transmission_MANUAL,FeaturesVector
grandi10 niossportz1.2,8667.94,8719,2019,First Owner,9.8,hyundai,7,1,0,1,1,0,"[0.07142857142857145, 0.009130166275229015, 0.9500000000000002, 0.0, 1, 0, 0, 1]"
grandi10 sports1.2,4549.19,54323,2015,First Owner,8.6,hyundai,11,1,0,1,0,1,"[0.35714285714285715, 0.06247017432231381, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
etios,4116.88,87966,2011,First Owner,8.8,toyota,15,1,0,1,0,1,"[0.6428571428571428, 0.10182018508295047, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
grandi10 sportz(o)1.2,5272.79,23297,2017,First Owner,9.6,hyundai,9,1,0,1,1,0,"[0.21428571428571425, 0.02618109683637282, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
wagon r1.0,4238.39,23233,2014,Second Owner,8.6,maruti,12,2,0,1,0,1,"[0.42857142857142855, 0.026106240233552597, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
swift,4702.49,77720,2013,First Owner,8.6,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.08983611082520047, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
crv2.4 at4 wd,11331.59,115886,2014,Third Owner,8.6,honda,12,3,0,1,1,0,"[0.42857142857142855, 0.13447637806327253, 0.6499999999999999, 1.0, 1, 0, 0, 1]"
elitei20 sportz,7027.19,26073,2017,First Owner,8.8,hyundai,9,1,1,0,0,1,"[0.21428571428571425, 0.02942800198369997, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
dzire zxi,8230.79,30348,2017,First Owner,9.2,maruti,9,1,0,1,1,0,"[0.21428571428571425, 0.03442818912520702, 0.7999999999999998, 0.0, 1, 0, 0, 1]"
jazz1.2 v,6182.39,13647,2016,First Owner,9.8,honda,10,1,0,1,0,1,"[0.28571428571428564, 0.014894124692386148, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
dzire zxi,8629.19,7266,2019,First Owner,9.6,maruti,7,1,0,1,1,0,"[0.07142857142857145, 0.0074306874643261505, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
grandi10 magna1.2 kappa,4688.39,41443,2016,First Owner,9.4,hyundai,10,1,0,1,0,1,"[0.28571428571428564, 0.04740528300474403, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
swift vdi,5698.79,66450,2015,First Owner,9.0,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.07665433092232692, 0.75, 0.0, 0, 1, 1, 0]"
ritz,3777.59,93555,2009,First Owner,8.8,maruti,17,1,0,1,0,1,"[0.7857142857142856, 0.10835727185111022, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
baleno sigma1.2,6730.62,28156,2015,Second Owner,9.0,maruti,11,2,0,1,0,1,"[0.35714285714285715, 0.031864350478614405, 0.75, 0.5, 1, 0, 1, 0]"
magna1.2,3172.44,31299,2010,First Owner,8.6,hyundaii10,16,1,0,1,0,1,"[0.7142857142857142, 0.03554051145773877, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
city1.5 emt,2457.61,93505,2010,First Owner,8.2,honda,16,1,0,1,1,0,"[0.7142857142857142, 0.10829879013015692, 0.5499999999999998, 0.0, 1, 0, 0, 1]"
xcent s,4724.39,151230,2015,First Owner,8.2,hyundai,11,1,0,1,0,1,"[0.35714285714285715, 0.1758159369707404, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
grandi10 sportz1.2 kappa,4747.19,53063,2016,First Owner,8.8,hyundai,10,1,0,1,0,1,"[0.28571428571428564, 0.06099643495429068, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
passat highline,7756.79,80345,2012,First Owner,8.4,volkswagen,14,1,1,0,1,0,"[0.5714285714285714, 0.09290640117524866, 0.6000000000000001, 0.0, 0, 1, 0, 1]"
wagon r1.0 lxi,2938.79,114593,2011,Second Owner,7.8,maruti,15,2,0,1,0,1,"[0.6428571428571428, 0.13296404075942023, 0.44999999999999996, 0.5, 1, 0, 1, 0]"
polo trendline1.2 l,2277.23,91905,2010,Second Owner,8.4,volkswagen,16,2,0,1,0,1,"[0.7142857142857142, 0.10642737505965136, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
eeco5 strcngwithac,4537.19,21487,2018,First Owner,9.4,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.024064058537863402, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
baleno delta1.2,7432.55,21125,2019,First Owner,9.8,maruti,7,1,0,1,0,1,"[0.07142857142857145, 0.02364065087816152, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
eon magna,4457.64,25439,2017,First Owner,8.2,hyundai,9,1,0,1,0,1,"[0.21428571428571425, 0.02868645376201214, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
wagon r1.0 vxiopt,4184.39,42270,2016,First Owner,9.0,maruti,10,1,0,1,1,0,"[0.28571428571428564, 0.048372570669311596, 0.75, 0.0, 1, 0, 0, 1]"
vitara brezza,8684.39,48081,2018,First Owner,9.4,maruti,8,1,1,0,0,1,"[0.14285714285714285, 0.05516931627850399, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
magna1.1,2677.19,116240,2008,First Owner,7.8,hyundaii10,18,1,0,1,0,1,"[0.857142857142857, 0.13489042864762188, 0.44999999999999996, 0.0, 1, 0, 1, 0]"
celerio vxi,4802.39,35251,2017,Second Owner,9.2,maruti,9,2,0,1,1,0,"[0.21428571428571425, 0.0401629066818875, 0.7999999999999998, 0.5, 1, 0, 0, 1]"
baleno alphaddis,7785.36,107803,2016,First Owner,9.0,maruti,10,1,1,0,0,1,"[0.28571428571428564, 0.12502222305396224, 0.75, 0.0, 0, 1, 1, 0]"
etios liva g,3883.19,60701,2014,First Owner,8.6,toyota,12,1,0,1,0,1,"[0.42857142857142855, 0.06993010264711662, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
swift,8950.24,14598,2019,First Owner,9.8,maruti,7,1,0,1,0,1,"[0.07142857142857145, 0.01600644702491789, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,4617.59,80710,2013,Second Owner,8.6,maruti,13,2,0,1,0,1,"[0.49999999999999994, 0.09333331773820774, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
swift,4441.19,124969,2014,First Owner,9.0,maruti,12,1,1,0,0,1,"[0.42857142857142855, 0.1451001674916488, 0.75, 0.0, 0, 1, 1, 0]"
baleno delta1.2,7495.19,18822,2017,First Owner,9.4,maruti,9,1,0,1,0,1,"[0.21428571428571425, 0.020946982811052575, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
eeco7,4645.19,44983,2018,First Owner,7.6,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.05154578884823759, 0.3999999999999999, 0.0, 1, 0, 1, 0]"
vitara brezza,8134.44,43573,2017,First Owner,9.2,maruti,9,1,1,0,0,1,"[0.21428571428571425, 0.04989660431735456, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
etios,3901.19,29045,2011,First Owner,9.2,toyota,15,1,0,1,0,1,"[0.6428571428571428, 0.032904155477164056, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
ecosport1.5 titaniumti,8505.59,10719,2017,First Owner,9.2,ford,9,1,0,1,0,1,"[0.21428571428571425, 0.011469435113360968, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
fortuner3.0 mt,14569.19,166542,2012,First Owner,8.8,toyota,14,1,1,0,0,1,"[0.5714285714285714, 0.19372537919547864, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
magnao,3923.99,48976,2013,Second Owner,8.4,hyundaii20,13,2,0,1,0,1,"[0.49999999999999994, 0.05621613908356803, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
swift,3166.79,56487,2011,First Owner,8.4,maruti,15,1,0,1,0,1,"[0.6428571428571428, 0.06500126320517259, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
grandi10 magna1.2,5347.19,27183,2015,First Owner,8.6,hyundai,11,1,0,1,0,1,"[0.35714285714285715, 0.030726296188863203, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
alto,1840.79,59696,2009,First Owner,8.6,maruti,17,1,0,1,0,1,"[0.7857142857142856, 0.06875462005595531, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
alto,1145.99,65053,2007,First Owner,8.4,maruti,19,1,0,1,0,1,"[0.9285714285714284, 0.07502035163889174, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
wagon r1.0,3950.39,11065,2013,First Owner,9.0,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.011874128622357797, 0.75, 0.0, 1, 0, 1, 0]"
creta1.6 e+,9226.79,61859,2017,First Owner,8.4,hyundai,9,1,0,1,0,1,"[0.21428571428571425, 0.07128453930439502, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
polo trendline1.2 l,2745.59,104895,2010,First Owner,8.4,volkswagen,16,1,0,1,0,1,"[0.7142857142857142, 0.12162092616331839, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
wagon r1.0 vxi,4442.39,35355,2015,Second Owner,9.0,maruti,11,2,0,1,1,0,"[0.35714285714285715, 0.04028454866147037, 0.75, 0.5, 1, 0, 0, 1]"
alto k10,2686.79,116848,2013,First Owner,7.4,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.135601566374414, 0.3500000000000001, 0.0, 1, 0, 1, 0]"
creta1.4 eplus,10767.59,45574,2016,First Owner,9.2,hyundai,10,1,1,0,1,0,"[0.28571428571428564, 0.05223704278990558, 0.7999999999999998, 0.0, 0, 1, 0, 1]"
compass limited1.4,13873.19,73227,2017,First Owner,8.6,jeep,9,1,0,1,1,0,"[0.21428571428571425, 0.08458094338033705, 0.6499999999999999, 0.0, 1, 0, 0, 1]"
series320 d,12985.19,83797,2012,Second Owner,8.6,bmw3,14,2,1,0,1,0,"[0.5714285714285714, 0.09694397918986442, 0.6499999999999999, 0.5, 0, 1, 0, 1]"
wagon r1.0 lxi,3640.79,100032,2015,First Owner,8.4,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.11593299398340055, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
,1505.64,72738,2008,First Owner,8.4,hyundaii10,18,1,0,1,0,1,"[0.857142857142857, 0.08400899214941378, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
jazz1.2 v,8078.39,19363,2017,First Owner,9.6,honda,9,1,0,1,1,0,"[0.21428571428571425, 0.02157975503176727, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
city smt,2636.39,49649,2010,First Owner,8.2,honda,16,1,0,1,0,1,"[0.7142857142857142, 0.057003303047599437, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
ciaz,6139.19,125241,2014,First Owner,8.2,maruti,12,1,1,0,0,1,"[0.42857142857142855, 0.14541830805363473, 0.5499999999999998, 0.0, 0, 1, 1, 0]"
alto lxi,5666.39,20058,2019,First Owner,9.6,maruti,7,1,0,1,0,1,"[0.07142857142857145, 0.022392650953018123, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
swift,4481.99,79467,2014,First Owner,8.6,maruti,12,1,0,1,0,1,"[0.42857142857142855, 0.09187946215530873, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
wagon r1.0 lxi,3070.79,68974,2012,First Owner,8.4,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.07960648819604944, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
sdrive,10078.79,35473,2011,Second Owner,7.8,bmwx1,15,2,1,0,1,0,"[0.6428571428571428, 0.04042256552292015, 0.44999999999999996, 0.5, 0, 1, 0, 1]"
scorpio,11252.39,142341,2016,First Owner,9.8,mahindra,10,1,1,0,0,1,"[0.28571428571428564, 0.16541905661966294, 0.9500000000000002, 0.0, 0, 1, 1, 0]"
brio1.2 smti,3881.99,83574,2012,Second Owner,8.2,honda,14,2,0,1,0,1,"[0.5714285714285714, 0.0966831507144127, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
verna fluidic1.6 sx,6374.39,48498,2014,First Owner,9.8,hyundai,12,1,1,0,0,1,"[0.42857142857142855, 0.0556570538312545, 0.9500000000000002, 0.0, 0, 1, 1, 0]"
swift,4246.79,111112,2010,First Owner,8.4,maruti,16,1,1,0,0,1,"[0.7142857142857142, 0.12889254334665157, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
swift vxi,3884.39,49523,2008,Second Owner,7.8,maruti,18,2,0,1,0,1,"[0.857142857142857, 0.05685592911079713, 0.44999999999999996, 0.5, 1, 0, 1, 0]"
wagon r1.0 lxi,2620.79,141811,2010,First Owner,9.2,maruti,16,1,0,1,0,1,"[0.7142857142857142, 0.16479915037755796, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
baleno alpha1.2,6039.59,48337,2015,First Owner,9.0,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.055468742689784876, 0.75, 0.0, 1, 0, 1, 0]"
innova2.5 vx7 strbs,10911.59,75358,2015,First Owner,9.4,toyota,11,1,1,0,0,1,"[0.35714285714285715, 0.08707343432736664, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
alto,2975.48,38938,2011,First Owner,8.4,maruti,15,1,0,1,0,1,"[0.6428571428571428, 0.04447534878498376, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
swift dzire vdi,7082.39,59957,2015,First Owner,9.2,maruti,11,1,1,0,1,0,"[0.35714285714285715, 0.06905989463933153, 0.7999999999999998, 0.0, 0, 1, 0, 1]"
nano,1492.79,9768,2016,First Owner,9.4,tata,10,1,0,1,1,0,"[0.28571428571428564, 0.010357112780829224, 0.8500000000000001, 0.0, 1, 0, 0, 1]"
figo1.2 zxi,3419.99,56940,2014,First Owner,8.8,ford,12,1,0,1,0,1,"[0.42857142857142855, 0.06553110759700947, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
alto k10,4120.79,50239,2014,First Owner,8.6,maruti,12,1,0,1,0,1,"[0.42857142857142855, 0.057693387354848365, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
alto k10,3266.39,10213,2015,First Owner,9.6,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.010877600097313584, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
swift dzire vdibs,3815.99,68930,2012,First Owner,8.6,maruti,14,1,1,0,0,1,"[0.5714285714285714, 0.07955502428161054, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
swift,4191.59,62323,2010,Third Owner,8.4,maruti,16,3,0,1,0,1,"[0.7142857142857142, 0.07182724967484164, 0.6000000000000001, 1.0, 1, 0, 1, 0]"
alto k10,2758.68,29780,2011,Second Owner,8.4,maruti,15,2,0,1,0,1,"[0.6428571428571428, 0.033763836775177546, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
city vmt,3901.19,147629,2011,First Owner,8.8,honda,15,1,0,1,0,1,"[0.6428571428571428, 0.17160408342768382, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
brio1.2 vxati,4851.59,42468,2014,First Owner,9.2,honda,12,1,0,1,1,0,"[0.42857142857142855, 0.04860415828428666, 0.7999999999999998, 0.0, 1, 0, 0, 1]"
swift dzire vxi1.2 bs,5014.79,46314,2014,First Owner,9.0,maruti,12,1,0,1,0,1,"[0.42857142857142855, 0.053102572260014407, 0.75, 0.0, 1, 0, 1, 0]"
swift dzire vxi,4124.39,49885,2009,First Owner,8.2,maruti,17,1,0,1,0,1,"[0.7857142857142856, 0.05727933677049901, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
ertiga vxi,5007.59,81940,2013,Second Owner,8.2,maruti,13,2,0,1,0,1,"[0.49999999999999994, 0.0947719680736589, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
vento highline1.2 tsi,7245.59,40897,2015,Second Owner,9.0,volkswagen,11,2,0,1,1,0,"[0.35714285714285715, 0.04676666261193401, 0.75, 0.5, 1, 0, 0, 1]"
grandi10 sportz(o)1.2 at,6565.19,6267,2017,First Owner,8.0,hyundai,9,1,0,1,1,0,"[0.21428571428571425, 0.0062622226796792396, 0.5, 0.0, 1, 0, 0, 1]"
venuesmt1.2,9071.17,1475,2020,First Owner,9.8,hyundai,6,1,0,1,1,0,"[0.0, 0.000657334543515079, 0.9500000000000002, 0.0, 1, 0, 0, 1]"
swift vxi1.3,1435.19,74458,2007,First Owner,7.8,maruti,19,1,0,1,1,0,"[0.9285714285714284, 0.08602076335020727, 0.44999999999999996, 0.0, 1, 0, 0, 1]"
venue1.0 lturbo gdisx,12440.9,913,2020,First Owner,9.8,hyundai,6,1,0,1,1,0,"[0.0, 0.0, 0.9500000000000002, 0.0, 1, 0, 0, 1]"
laura ambiente2.0 tdicr,6772.79,104331,2012,Second Owner,8.8,skoda,14,2,1,0,1,0,"[0.5714285714285714, 0.12096125235096518, 0.7000000000000002, 0.5, 0, 1, 0, 1]"
magnao,2623.21,53140,2010,First Owner,8.0,hyundaii20,16,1,0,1,0,1,"[0.7142857142857142, 0.061086496804558764, 0.5, 0.0, 1, 0, 1, 0]"
wagon r1.0 lxi,3149.99,134966,2013,First Owner,8.4,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.15679300277905137, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
city vmt,5713.19,104060,2014,First Owner,8.6,honda,12,1,1,0,0,1,"[0.42857142857142855, 0.12064428142339831, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
verna fluidic1.6 sx,5147.99,51148,2013,First Owner,8.4,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.05875658504177934, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
magna1.2,2168.39,70891,2010,Second Owner,8.8,hyundaii10,16,2,0,1,0,1,"[0.7142857142857142, 0.08184867737739893, 0.7000000000000002, 0.5, 1, 0, 1, 0]"
santro xing,1571.99,49349,2009,First Owner,8.4,hyundai,17,1,0,1,0,1,"[0.7857142857142856, 0.056652412721879646, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
zest xmaquadrajet,5408.39,55186,2015,First Owner,9.2,tata,11,1,1,0,1,0,"[0.35714285714285715, 0.06347956882596775, 0.7999999999999998, 0.0, 0, 1, 0, 1]"
polo comfortline1.2 l,6982.79,15426,2017,First Owner,9.4,volkswagen,9,1,0,1,0,1,"[0.21428571428571425, 0.016974904323904517, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
ecosport1.5 titaniumtivct,5128.79,114610,2014,First Owner,9.8,ford,12,1,0,1,1,0,"[0.42857142857142855, 0.13298392454454433, 0.9500000000000002, 0.0, 1, 0, 0, 1]"
vitara brezza,8349.59,67454,2016,First Owner,9.2,maruti,10,1,1,0,0,1,"[0.28571428571428564, 0.07782864387906915, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
swift dzire vdibs,4949.99,118302,2012,First Owner,8.6,maruti,14,1,1,0,0,1,"[0.5714285714285714, 0.13730221481973592, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
wagon r1.0 vxi,4911.59,6703,2016,First Owner,9.4,maruti,10,1,0,1,1,0,"[0.28571428571428564, 0.006772183286392005, 0.8500000000000001, 0.0, 1, 0, 0, 1]"
amaze1.2 smti,5345.65,81538,2016,First Owner,9.0,honda,10,1,0,1,0,1,"[0.28571428571428564, 0.09430177503719438, 0.75, 0.0, 1, 0, 1, 0]"
swift,4425.59,40183,2012,First Owner,8.0,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.0459315436367209, 0.5, 0.0, 1, 0, 1, 0]"
verna fluidic1.6 sx,4791.59,96225,2012,First Owner,8.4,hyundai,14,1,1,0,0,1,"[0.5714285714285714, 0.11148019575001637, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
magnao,3695.99,54054,2012,Second Owner,8.0,hyundaii20,14,2,0,1,0,1,"[0.5714285714285714, 0.06215554266358506, 0.5, 0.5, 1, 0, 1, 0]"
polo gttsi1.2 petrol,8471.99,69898,2016,First Owner,8.0,volkswagen,10,1,0,1,1,0,"[0.28571428571428564, 0.08068723039926641, 0.5, 0.0, 1, 0, 0, 1]"
celerio,4943.99,33199,2018,First Owner,9.6,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.03776281685396412, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
swift lxi,5203.1,25976,2017,First Owner,9.4,maruti,9,1,0,1,0,1,"[0.21428571428571425, 0.029314547445050573, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
swift,3687.59,89318,2012,First Owner,8.2,maruti,14,1,1,0,0,1,"[0.5714285714285714, 0.10340153081752768, 0.5499999999999998, 0.0, 0, 1, 1, 0]"
verna fluidic1.6 sxcrdi,4714.79,45693,2012,First Owner,9.8,hyundai,14,1,1,0,0,1,"[0.5714285714285714, 0.052376229285774435, 0.9500000000000002, 0.0, 0, 1, 1, 0]"
tiago xz1.2,6148.79,26793,2017,First Owner,8.8,tata,9,1,0,1,0,1,"[0.21428571428571425, 0.030270138765427473, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
swift dzire vdibs,5359.19,85672,2013,Second Owner,8.2,maruti,13,2,1,0,0,1,"[0.49999999999999994, 0.09913704372561312, 0.5499999999999998, 0.5, 0, 1, 1, 0]"
alto k10 vxi,3686.39,21501,2015,First Owner,9.0,maruti,11,1,0,1,1,0,"[0.35714285714285715, 0.024080433419730325, 0.75, 0.0, 1, 0, 0, 1]"
astar vxiabs,3674.28,22465,2011,Second Owner,8.4,maruti,15,2,0,1,1,0,"[0.6428571428571428, 0.025207960999709927, 0.6000000000000001, 0.5, 1, 0, 0, 1]"
ritz vxibs,4511.46,86798,2014,First Owner,8.6,maruti,12,1,0,1,0,1,"[0.42857142857142855, 0.10045405208148141, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
alto,2781.59,58963,2012,First Owner,8.0,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.06789727802677996, 0.5, 0.0, 1, 0, 1, 0]"
celerio zxiopt,5665.19,20010,2017,First Owner,9.2,maruti,9,1,0,1,1,0,"[0.21428571428571425, 0.022336508500902956, 0.7999999999999998, 0.0, 1, 0, 0, 1]"
corolla altis d4 d,3673.19,115196,2011,Second Owner,8.0,toyota,15,2,1,0,0,1,"[0.6428571428571428, 0.133669330314117, 0.5, 0.5, 0, 1, 1, 0]"
wagon r1.0 lxi,3698.39,61646,2014,Second Owner,8.4,maruti,12,2,0,1,0,1,"[0.42857142857142855, 0.07103540717313397, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
brio1.2 smti,3556.79,16508,2013,Second Owner,8.6,honda,13,2,0,1,0,1,"[0.49999999999999994, 0.018240448765333907, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
active1.2,6838.79,23390,2016,First Owner,9.0,hyundaii20,10,1,0,1,0,1,"[0.28571428571428564, 0.026289872837345955, 0.75, 0.0, 1, 0, 1, 0]"
swift zxi,8017.19,23296,2018,First Owner,9.4,maruti,8,1,0,1,1,0,"[0.14285714285714285, 0.026179927201953754, 0.8500000000000001, 0.0, 1, 0, 0, 1]"
grandi10 sportz(o)1.2 at,7285.19,17487,2017,First Owner,9.4,hyundai,9,1,0,1,1,0,"[0.21428571428571425, 0.019385520861599496, 0.8500000000000001, 0.0, 1, 0, 0, 1]"
swift,6459.59,43743,2015,Second Owner,9.0,maruti,11,2,0,1,0,1,"[0.35714285714285715, 0.05009544216859578, 0.75, 0.5, 1, 0, 1, 0]"
baleno delta1.2,7454.39,5153,2019,First Owner,9.6,maruti,7,1,0,1,0,1,"[0.07142857142857145, 0.004959249936839742, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
vitara brezza vdi,7233.59,58586,2016,First Owner,9.2,maruti,10,1,1,0,0,1,"[0.28571428571428564, 0.06745632585079207, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
polo comfortline1.2 l,2317.19,61082,2012,First Owner,8.4,volkswagen,14,1,0,1,0,1,"[0.5714285714285714, 0.07037573336078076, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
santro xing,1897.19,58531,2008,First Owner,7.8,hyundai,18,1,0,1,0,1,"[0.857142857142857, 0.06739199595774345, 0.44999999999999996, 0.0, 1, 0, 1, 0]"
tiago xz1.2,6071.99,21446,2017,First Owner,8.6,tata,9,1,0,1,0,1,"[0.21428571428571425, 0.0240161035266817, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
celerio vxi,5356.79,16920,2016,First Owner,9.8,maruti,10,1,0,1,1,0,"[0.28571428571428564, 0.018722338145989087, 0.9500000000000002, 0.0, 1, 0, 0, 1]"
verna fluidic1.6 sx,5275.19,48288,2012,First Owner,8.8,hyundai,14,1,1,0,0,1,"[0.5714285714285714, 0.05541143060325064, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
sportz1.2,2600.39,51056,2010,First Owner,8.2,hyundaii10,16,1,0,1,0,1,"[0.7142857142857142, 0.05864897867522527, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
wagon r1.0,2627.99,52333,2010,First Owner,8.6,maruti,16,1,0,1,0,1,"[0.7142857142857142, 0.06014260182837252, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,5111.99,75485,2014,First Owner,8.6,maruti,12,1,0,1,0,1,"[0.42857142857142855, 0.08722197789858802, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
marazzom28,9393.59,79993,2019,Second Owner,9.0,mahindra,7,2,1,0,1,0,"[0.07142857142857145, 0.09249468985973744, 0.75, 0.5, 0, 1, 0, 1]"
wagon r,2585.99,110417,2010,First Owner,8.0,maruti,16,1,0,1,0,1,"[0.7142857142857142, 0.1280796474254007, 0.5, 0.0, 1, 0, 1, 0]"
verna fluidic1.6 sx,4574.39,68374,2013,Second Owner,8.4,hyundai,13,2,0,1,0,1,"[0.49999999999999994, 0.07890470754460986, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
amaze1.2 smti,3497.99,72229,2013,Second Owner,8.2,honda,13,2,0,1,0,1,"[0.49999999999999994, 0.0834136482301092, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
alto k10 vxi,3385.19,49010,2015,First Owner,8.8,maruti,11,1,0,1,1,0,"[0.35714285714285715, 0.05625590665381628, 0.7000000000000002, 0.0, 1, 0, 0, 1]"
eon,2254.79,86673,2011,First Owner,8.0,hyundai,15,1,0,1,0,1,"[0.6428571428571428, 0.10030784777909817, 0.5, 0.0, 1, 0, 1, 0]"
city smt,3803.46,48181,2010,First Owner,8.6,honda,16,1,0,1,0,1,"[0.7142857142857142, 0.055286279720410586, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
ertiga,5510.39,88622,2013,First Owner,8.6,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.10258746526185776, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
sportz1.1,3343.19,72977,2014,First Owner,8.2,hyundaii10,12,1,0,1,0,1,"[0.42857142857142855, 0.08428853477557055, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
wagon r1.0,5185.19,19615,2018,First Owner,9.4,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.021874502905371896, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
city smt,3316.79,100733,2011,First Owner,8.2,honda,15,1,0,1,0,1,"[0.6428571428571428, 0.1167529077111658, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
swift,8144.39,3587,2016,First Owner,9.8,maruti,10,1,0,1,0,1,"[0.28571428571428564, 0.003127602436582422, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
duster85 psrxl,4767.59,119275,2013,First Owner,8.4,renault,13,1,1,0,0,1,"[0.49999999999999994, 0.13844026910948712, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
