Model,SoldPrice,Kilometers,Year,Owner,ConditionScore,Brand,Age,OwnerRank,FuelType_Diesel,FuelType_Petrol,Transmission_AUTOMATIC,Transmission_MANUAL,FeaturesVector
elitei201.4 crdiasta,7839.59,83167,2016,First Owner,8.6,hyundai,10,1,1,0,0,1,"[0.28571428571428564, 0.09620710950585286, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
city smt,5420.39,44987,2010,First Owner,8.6,honda,16,1,0,1,0,1,"[0.7142857142857142, 0.05155046738591385, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
amaze1.2 vmt,7965.59,19222,2018,First Owner,9.2,honda,8,1,0,1,1,0,"[0.14285714285714285, 0.021414836578678965, 0.7999999999999998, 0.0, 1, 0, 0, 1]"
alto800,3325.19,47169,2013,First Owner,8.4,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.05410260968831582, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
city smt,2554.79,72880,2008,First Owner,9.6,honda,18,1,0,1,0,1,"[0.857142857142857, 0.08417508023692115, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
verna,3380.42,53029,2009,Second Owner,8.2,hyundai,17,2,0,1,0,1,"[0.7857142857142856, 0.06095666738404244, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
swift vdi,4903.19,89947,2014,First Owner,8.6,maruti,12,1,1,0,0,1,"[0.42857142857142855, 0.10413723086712018, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
wagon r1.0,5147.99,53211,2018,Second Owner,9.0,maruti,8,2,0,1,0,1,"[0.14285714285714285, 0.06116954084831245, 0.75, 0.5, 1, 0, 1, 0]"
grandi10 sportz1.1,3533.53,97600,2014,First Owner,8.8,hyundai,12,1,1,0,0,1,"[0.42857142857142855, 0.11308844307623209, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
magnao,3772.79,47774,2012,First Owner,8.6,hyundaii20,14,1,0,1,0,1,"[0.5714285714285714, 0.05481023851185073, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
zen estilo,1609.19,35561,2009,Second Owner,8.2,maruti,17,2,0,1,0,1,"[0.7857142857142856, 0.04052549335179796, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
swift vdi,5281.19,25850,2015,First Owner,9.0,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.02916717350824826, 0.75, 0.0, 0, 1, 1, 0]"
swift,4622.39,146312,2012,First Owner,8.0,maruti,14,1,1,0,0,1,"[0.5714285714285714, 0.17006367489777394, 0.5, 0.0, 0, 1, 1, 0]"
magnao,4135.19,24034,2012,First Owner,8.2,hyundaii20,14,1,0,1,0,1,"[0.5714285714285714, 0.027043117403224445, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
